arcade_pc	name	entry	body_min	body_max	instruction_count	callers	callees
0x00038E	FUN_0000038e	0x00038E	0x00038E	0x0003A2	7	0x000100:FUN_00000100	0x03BB48:FUN_0003bb48
0x0003A4	FUN_000003a4	0x0003A4	0x0003A4	0x0004A0	54	0x000100:FUN_00000100	0x0004B2:FUN_000004b2,0x0004C8:FUN_000004c8
0x0004A2	FUN_000004a2	0x0004A2	0x0004A2	0x0004B0	8	0x0004B2:FUN_000004b2,0x000100:FUN_00000100,0x0004C8:FUN_000004c8	
0x0004B2	FUN_000004b2	0x0004B2	0x0004B2	0x0004C6	7	0x0003A4:FUN_000003a4	0x0004A2:FUN_000004a2
0x0004C8	FUN_000004c8	0x0004C8	0x0004C8	0x0004E0	8	0x0003A4:FUN_000003a4	0x0004A2:FUN_000004a2
0x000502	FUN_00000502	0x000502	0x000502	0x000528	12	0x000100:FUN_00000100	
0x00052A	FUN_0000052a	0x00052A	0x00052A	0x00057A	16	0x000100:FUN_00000100	0x00057C:FUN_0000057c
0x00057C	FUN_0000057c	0x00057C	0x00057C	0x0005CA	28	0x00052A:FUN_0000052a	0x000252:FUN_00000252,0x03BB48:FUN_0003bb48
0x0005CC	FUN_000005cc	0x0005CC	0x0005CC	0x000662	34	0x000100:FUN_00000100	0x000664:FUN_00000664,0x0001E2:FUN_000001e2
0x000664	FUN_00000664	0x000664	0x000664	0x00067A	8	0x0005CC:FUN_000005cc	0x00067C:FUN_0000067c
0x00067C	FUN_0000067c	0x00067C	0x00067C	0x00068E	7	0x000664:FUN_00000664	
0x0006AA	FUN_000006aa	0x0006AA	0x0006AA	0x0006B8	3	0x0001E2:FUN_000001e2,0x000210:FUN_00000210	
0x039F80	warm_restart_watchdog_gate	0x039F80	0x039F80	0x039FA6	11		
0x039FA8	FUN_00039fa8	0x039FA8	0x039FA8	0x039FAC	3	0x03AB7C:warm_restart_gate_caller_a,0x03B084:warm_restart_gate_caller_b	
0x03A000	vector_01_target_03a000	0x03A000	0x03A000	0x03A000	1		
0x03A004	vector_1e_target_03a004	0x03A004	0x03A004	0x03A004	1		
0x03A008	vector_1d_target_03a008	0x03A008	0x03A008	0x03A06A	28		0x03A0A8:FUN_0003a0a8,0x03EEFA:FUN_0003eefa,0x03AB7C:warm_restart_gate_caller_a,0x041F30:FUN_00041f30,0x03EF5C:FUN_0003ef5c,0x03A126:FUN_0003a126,0x03ABE2:FUN_0003abe2
0x03A080	FUN_0003a080	0x03A080	0x03A080	0x03A08A	3		0x0510C6:FUN_000510c6
0x03A08C	FUN_0003a08c	0x03A08C	0x03A08C	0x03A098	4	0x03ACAE:title_fg_glyph_producer_3acae	
0x03A09A	FUN_0003a09a	0x03A09A	0x03A09A	0x03A0A6	4	0x03ACF4:FUN_0003acf4	
0x03A0A8	FUN_0003a0a8	0x03A0A8	0x03A0A8	0x03A0EA	17	0x03A008:vector_1d_target_03a008	0x03AE46:FUN_0003ae46,0x03AE3C:FUN_0003ae3c,0x03AE28:FUN_0003ae28
0x03A0EC	FUN_0003a0ec	0x03A0EC	0x03A0EC	0x03A114	16	0x05560C:FUN_0005560c,0x0529CC:FUN_000529cc,0x0555B8:FUN_000555b8,0x045B18:FUN_00045b18,0x0448B2:FUN_000448b2,0x045342:FUN_00045342	
0x03A126	FUN_0003a126	0x03A126	0x03A126	0x03A158	19	0x03A008:vector_1d_target_03a008	0x03F084:FUN_0003f084,0x03F09C:FUN_0003f09c
0x03A2D0	FUN_0003a2d0	0x03A2D0	0x03A2D0	0x03A2D6	4	0x04092E:FUN_0004092e,0x045D7C:FUN_00045d7c,0x045DC4:FUN_00045dc4	
0x03A552	FUN_0003a552	0x03A552	0x03A552	0x03A564	4	0x03B098:FUN_0003b098,0x03AC04:FUN_0003ac04	
0x03AB7C	warm_restart_gate_caller_a	0x03AB7C	0x03AB7C	0x03ABE0	23	0x03A008:vector_1d_target_03a008	0x03AE50:FUN_0003ae50,0x039FA8:FUN_00039fa8,0x03BB48:FUN_0003bb48,0x03F084:FUN_0003f084,0x03ADD8:FUN_0003add8,0x03AE64:FUN_0003ae64,0x03AD72:FUN_0003ad72
0x03ABE2	FUN_0003abe2	0x03ABE2	0x03ABE2	0x03ABF4	6	0x03A008:vector_1d_target_03a008	0x03ACF4:FUN_0003acf4,0x03AC04:FUN_0003ac04,0x03AC8A:FUN_0003ac8a
0x03AC04	FUN_0003ac04	0x03AC04	0x03AC04	0x03AC88	38	0x03ABE2:FUN_0003abe2	0x03AE50:FUN_0003ae50,0x03C2E2:FUN_0003c2e2,0x03F084:FUN_0003f084,0x03A552:FUN_0003a552
0x03AC8A	FUN_0003ac8a	0x03AC8A	0x03ABF6	0x03ACAA	12	0x03ABE2:FUN_0003abe2	
0x03ACAE	title_fg_glyph_producer_3acae	0x03ACAE	0x03ACAE	0x03ACF0	20		0x03A08C:FUN_0003a08c
0x03ACF4	FUN_0003acf4	0x03ACF4	0x03ACF4	0x03AD3A	17	0x03ABE2:FUN_0003abe2	0x03A09A:FUN_0003a09a
0x03AD3C	FUN_0003ad3c	0x03AD3C	0x03AD3C	0x03AD42	4	0x03AE86:startup_common_body	
0x03AD44	FUN_0003ad44	0x03AD44	0x03AD44	0x03AD4A	4	0x03AE86:startup_common_body,0x03AE64:FUN_0003ae64,0x03AD72:FUN_0003ad72	
0x03AD72	FUN_0003ad72	0x03AD72	0x03AD72	0x03ADA4	12	0x03AE86:startup_common_body,0x03AB7C:warm_restart_gate_caller_a	0x03ADAA:FUN_0003adaa,0x05B512:FUN_0005b512,0x03AD44:FUN_0003ad44
0x03ADAA	FUN_0003adaa	0x03ADAA	0x03ADAA	0x03ADBA	7	0x03AD72:FUN_0003ad72	
0x03ADD8	FUN_0003add8	0x03ADD8	0x03ADD8	0x03AE26	20	0x03AE86:startup_common_body,0x03AB7C:warm_restart_gate_caller_a	
0x03AE28	FUN_0003ae28	0x03AE28	0x03AE28	0x03AE3A	5	0x03AE86:startup_common_body,0x03A0A8:FUN_0003a0a8	
0x03AE3C	FUN_0003ae3c	0x03AE3C	0x03AE3C	0x03AE44	3	0x03A0A8:FUN_0003a0a8	
0x03AE46	FUN_0003ae46	0x03AE46	0x03AE46	0x03AE4E	3	0x03A0A8:FUN_0003a0a8	
0x03AE50	FUN_0003ae50	0x03AE50	0x03AE50	0x03AE58	3	0x03AB7C:warm_restart_gate_caller_a,0x03AC04:FUN_0003ac04	
0x03AE64	FUN_0003ae64	0x03AE64	0x03AE64	0x03AE84	9	0x03AB7C:warm_restart_gate_caller_a	0x03AD44:FUN_0003ad44
0x03AE86	startup_common_body	0x03AE86	0x03AE86	0x03B07E	117		0x03B8B0:FUN_0003b8b0,0x03B9F8:FUN_0003b9f8,0x000100:FUN_00000100,0x03B098:FUN_0003b098,0x05FFA2:FUN_0005ffa2,0x03AD44:FUN_0003ad44,0x03F084:FUN_0003f084,0x03ADD8:FUN_0003add8,0x05FFB2:FUN_0005ffb2,0x03AE28:FUN_0003ae28,0x03AD3C:FUN_0003ad3c,0x03B0C2:FUN_0003b0c2,0x03AD72:FUN_0003ad72
0x03B084	warm_restart_gate_caller_b	0x03B084	0x03B084	0x03B096	5		0x039FA8:FUN_00039fa8
